,Unnamed: 0,year,food_category,tons_surplus,tons_supply,us_dollars_surplus,tons_waste,tons_uneaten,tons_inedible_parts,tons_not_fit_for_human_consumption,tons_donations,tons_industrial_uses,tons_animal_feed,tons_anaerobic_digestion,tons_composting,tons_not_harvested,tons_incineration,tons_land_application,tons_landfill,tons_sewer,tons_dumping,gallons_water_footprint,meals_wasted,food_name_food_waste,best_match,score,food_name,serving_size,protein,percent_daily_value,fat,carbs,calories,fiber,calcium,iron,potassium,sodium,phosphorus
37,37,2023,Nectarines,81314.8505,212605.796,131898078.84,64039.321346240504,80074.9219260172,7318.336545,43182.66483764776,1239.9285739828,0.0,16035.600579776696,0.0,0.0,57255.796,19.746830760032996,0.0,646.704002788467,0.0,6117.074512692,2493425526.7541103,133458203.21002868,nectarines,nectarines,1.0,nectarines,90.0,2.855,0.0,0.18,37.85,164.0,3.7,0.0125,0.001705,,0.006,
38,38,2023,Nectarines,81314.8505,212605.796,131898078.84,64039.321346240504,80074.9219260172,7318.336545,43182.66483764776,1239.9285739828,0.0,16035.600579776696,0.0,0.0,57255.796,19.746830760032996,0.0,646.704002788467,0.0,6117.074512692,2493425526.7541103,133458203.21002868,nectarines,nectarines halves,0.7407407407407407,nectarines halves,28.0,3.57,0.0,0.0,64.3,250.0,7.1,0.0,0.0038599999999999,,0.0,
39,39,2023,Nectarines,81314.8505,212605.796,131898078.84,64039.321346240504,80074.9219260172,7318.336545,43182.66483764776,1239.9285739828,0.0,16035.600579776696,0.0,0.0,57255.796,19.746830760032996,0.0,646.704002788467,0.0,6117.074512692,2493425526.7541103,133458203.21002868,nectarines,sliced nectarines,0.7407407407407407,sliced nectarines,85.0,1.18,0.0,0.0,10.6,47.0,2.4,0.024,0.0004199999999999,,0.0,
41,41,2023,Oranges,1040519.31,3480248.08,575290155.81,967966.75834607,1026416.036396168,322560.9861,432539.2847643274,14103.273603832,0.0,58449.278050098,0.0,0.0,937248.08,1257.75248240794,0.0,11126.64513318206,0.0,18334.28073048,31933556119.345108,1710693393.9936132,oranges,oranges,1.0,oranges,154.0,0.65,0.0,0.075,12.95,47.0,3.2,0.042,0.000175,,0.0005,
42,42,2023,Other Berries,438.0,1438.0,741534.0,438.0,438.0,8.76,173.40094269040847,0.0,0.0,0.0,0.0,0.0,438.0,0.0,0.0,0.0,0.0,0.0,13533947.836985026,730000.0,other berries,strawberries,0.72,strawberries,141.33333333333334,0.7122222222222222,0.0,0.0216666666666666,14.126470588235293,56.11764705882353,1.847058823529412,0.0148888888888888,0.0009455555555555,0.1443571428571428,0.0,
44,44,2023,Papayas,2682.57875,7013.87,3390256.1099999994,2112.6586540037497,2641.673478409,1019.3799249999998,1424.5970858895705,40.905271591,0.0,529.0148244052499,0.0,0.0,1888.87,4.008406188452304,0.0,17.977821825297696,0.0,201.80242599,82258164.30392544,4402789.130681667,papayas,papaya,0.9230769230769232,papaya,40.0,2.5,8.0,0.0,65.0,250.0,10.0,0.15,0.0,,0.018,
45,45,2023,Peaches,181549.5630309725,769911.6055,233270085.7654156,144356.2009463772,178880.05797554317,7261.9825212389,95536.6003875246,2669.505055429355,0.0,34523.857029165934,0.0,0.0,129751.6055,90.33383675929431,0.0,1344.5019325610012,0.0,13169.759677056903,5568533892.2448225,298133429.9592386,peaches,peaches,1.0,peaches,96.71428571428572,0.6557142857142857,0.0,0.0485714285714285,34.411428571428566,141.71428571428572,4.057142857142857,0.0172857142857142,0.0012928571428571,0.1895,0.0038571428571428,
46,46,2023,Pears,256822.076238516,858067.367,135485055.8224367,203130.32914954072,252968.42111686143,25682.2076238516,135832.7284323102,3853.655121654579,0.0,49838.09196732071,0.0,0.0,182047.36700000003,146.98734389160856,0.0,1924.3187957721807,0.0,19011.656009876915,7876116437.212707,421614035.194769,pears,pears,1.0,pears,103.0,1.55,0.0,0.0,41.6,174.0,9.3,0.017,0.001665,0.114,0.0025,
47,47,2023,Peas,14106.644927508223,307651.8669262832,5568819.232076469,14038.570682373122,14101.865650089643,1269.59804347574,10248.63806758501,4.7792774185789835,0.0,63.29496771652168,0.0,0.0,14011.866926283225,0.495481373871138,0.0,2.0157381899067572,0.0,24.19253652612032,435813368.3975455,23503109.41681607,peas,peas,1.0,peas,107.33333333333331,3.68,0.8888888888888888,0.1955555555555556,10.657777777777778,60.111111111111114,3.411111111111111,0.0121111111111111,0.00099,0.1178571428571428,0.094,
48,48,2023,Plums,44785.00621952,121160.704,69996565.524348,35289.33719680574,44103.46695982187,2687.1003731712,23771.2112573512,681.5392596981319,0.0,8814.129763016132,0.0,0.0,31560.704,10.048717354435684,0.0,356.27271216376846,0.0,3362.311767287531,1373301323.4228942,73505778.26636979,plums,pumpkins,0.6153846153846154,pumpkins,39.0,0.0,0.0,0.0,94.9,385.0,0.0,0.0,0.0,,0.205,
49,49,2023,Potatoes,1906879.2626323511,25846586.84224499,606443770.5950457,1204797.5446638777,1770403.696507704,476719.81853308773,622991.1505957629,136475.56612464707,0.0,565606.1518438265,0.0,0.0,907536.8422449912,8642.673734431004,0.0,111199.55036034506,0.0,177418.4783241104,56812963185.88521,2950672827.5128403,potatoes,potatoes,1.0,potatoes,139.93333333333334,2.4780000000000006,1.2,0.1233333333333333,21.133333333333336,92.6,1.6333333333333326,0.0269333333333333,0.0007213333333333,0.4735,0.1493333333333333,0.041
50,50,2023,Potatoes,1906879.2626323511,25846586.84224499,606443770.5950457,1204797.5446638777,1770403.696507704,476719.81853308773,622991.1505957629,136475.56612464707,0.0,565606.1518438265,0.0,0.0,907536.8422449912,8642.673734431004,0.0,111199.55036034506,0.0,177418.4783241104,56812963185.88521,2950672827.5128403,potatoes,potato leek soup,0.6666666666666666,potato leek soup,37.0,16.2,3.0,8.11,59.5,378.0,5.4,0.378,0.0,,1.3,
51,51,2023,Pumpkins,244263.034325635,1093817.8253,91152527.03266394,242190.38357167115,243860.1379422277,73278.8615626905,127927.4122018984,402.89638340731506,0.0,1669.7543705565313,0.0,0.0,241312.8253,52.52187070162185,0.0,301.2703870507666,0.0,523.7660139187648,7541362501.7088,406433563.2370462,pumpkins,mints,0.6153846153846154,mints,5.0,0.0,0.0,0.2,92.0,370.0,0.0,0.0,0.0,,0.0,
52,52,2023,Raspberries,31426.5,103176.5,165676128.0,31426.5,31426.5,1257.06,12441.517638036808,0.0,0.0,0.0,0.0,0.0,31426.5,0.0,0.0,0.0,0.0,0.0,971060757.3036757,52377500.0,raspberries,raspberries,1.0,raspberries,142.14000040690104,1.3646666666666667,0.0,0.5840000000000001,13.12,57.714285714285715,5.9333333333333345,0.0245714285714285,0.0007257142857142,0.1507,0.0005333333333333,
53,53,2023,Spinach,153294.80250159,554244.5385,240349615.50303695,106069.71301361662,149979.278350976,42922.54543544521,77578.66781545368,3315.5241506139864,0.0,43909.56533735939,0.0,0.0,87544.5385,43.07769798723294,0.0,1699.0285624347646,0.0,16783.068253194622,4685497249.507087,249965463.91829336,spinach,spinach,1.0,spinach,100.0,2.6315000000000004,21.5,0.1175,5.9545,36.35,2.13,0.081,0.0021625,0.4771538461538461,0.11995,
56,56,2023,Sweet Corn,212901.00392462913,3793011.732368958,83131938.30921607,171721.3071874117,210009.90767626787,136256.64251176265,143408.90968471218,2891.0962483612543,0.0,38288.60048885617,0.0,0.0,155567.58303895802,255.813703361778,0.0,1263.2815120417918,0.0,14634.628933050111,6533851846.230965,350016512.7937798,sweet corn,sweet corn,1.0,sweet corn,107.5,2.4725,0.0,1.29,13.95,84.75,1.9250000000000005,0.008,0.00025,0.2375,0.062,
